id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),
Par. 11,,,,,,,,,,,,
SlaT-2871-n2,exerceo,v#v-w251_MPf5_MP,exerceo-11,v#01765908,101981,"ACT, PAT",magis ambitio quam avaritia animos hominum exercebat,,,,does not match with the same frame elsewhere,
2871a1,exerceo,v#v-w251_MPf5_MP,exerceo-11,v#01765908,101981,"ACT, PAT",magis ambitio quam avaritia animos hominum exercebat,,,,,
SlaT-2871-n9,sum,v#v-w2_MPf171_MP,identity-91,,,,,,,,,
SlaT-2872-n1,exopto,v#v-w1167_MPf1_MP,exopto-01,v#01828405,102087,"ACT, PAT",gloriam honorem imperium bonus et ignavos aeque sibi exoptant,,,,,
SlaT-2873-n3,nitor,v#v-w332_MPf12_MP,nitor-06,v#02531199,113708,"ACT, PAT",ille vera via nititur,,,,,
SlaT-2873-n7,contendo,v#v-w684_MPf6_MP,contendo-12,v#01146051,96251,ACT,"huic quia bonae artes desunt, dolis atque fallaciis contendit",,,,does not match with the same frame elsewhere,
SlaT-2873-n8,desum,v#v-w229_MPf9_MP,desum-NEW-03,v#02632567,98996,"ACT, PAT",huic quia bonae artes desunt,"be without, lack; be deficient in",,,,
SlaT-2874-n1,habeo,v#v-w73_MPf16_MP,habeo-18,v#02630189,105044,"ACT, PAT",auaritia pecuniae studium habet,,,,,
SlaT-2874-n3,studium,v#v-w59_MPf8_MP,studium-03,n#04945057,125889,"ACT, PAT",auaritia pecuniae studium habet,,NON-EVENT,,,
SlaT-2874-n5,concupio,v#v-w1168_MPf1_MP,concupio-01,v#01828405,94760,"ACT, PAT","auaritia pecuniae studium habet, quam nemo sapiens concupivit",,,,,
SlaT-2874-n8,sapio,v#v-w195_MPf4_MP,sapio-01,v#00588888,123386,"ACT, PAT","auaritia pecuniae studium habet, quam nemo sapiens concupivit",,,,,
SlaT-2875-n2,effemino,v#v-w1170_MPf1_MP,effemino-02,v#00389856,100608,"ACT, PAT",ea quasi venenis malis inbuta corpus animumque virilem effeminat,,,,,
SlaT-2875-n4,inbuo,v#v-w1169_MPf1_MP,imbuo-NEW-01,v#00456151,106353,"ACT, PAT",ea quasi venenis malis inbuta corpus animumque virilem effeminat,"fill, soak, or imbue totally",,,,
SlaT-2875-n12,sum,v#v-w2_MPf99_MP,have-mod-91,,,,,,,,,
SlaT-2875-n16,insatiabilis,v#v-w1171_MPf1_MP,insatiabilis-02,a#02078399,108068,ACT,(auaritia) semper infinita insatiabilis est,,NON-EVENT,,,
SlaT-2875-n17,minuo,v#v-w524_MPf2_MP,minuo-05,v#00245059,112408,"ACT, PAT",(auaritia) neque copia neque inopia minuitur,,,,,
SlaT-2876-n3,habeo,v#v-w73_MPf15_MP,habeo-10,v#02203362,105044,"ACT, PAT","L. Sulla, armis recepta re publica, bonis initiis malos eventus habuit",,have-91?,,Q,
SlaT-2876-n7,recipio,v#v-w96_MPf4_MP,recipio-07,v#01213614,122390,"ACT, PAT","L. Sulla, armis recepta re publica, bonis initiis malos eventus habuit",,,,,
SlaT-2876-n15,rapio,v#v-w590_MPf2_MP,rapio-07,v#02344568,122350,"ACT, PAT","rapere omnes, trahere, domum alius agros cupere",,,,,
SlaT-2876-n17,traho,v#v-w196_MPf7_MP,traho-25,v#02344568,128552,"ACT, PAT","rapere omnes, trahere, domum alius agros cupere",,,,,
2876a4,cupio,v#v-w215_MPf6_MP,cupio-03/cupio-05,v#01825237/v#01828405,97287,"ACT, PAT","rapere omnes, trahere, domum alius agros cupere",,merge,,,
SlaT-2876-n21,cupio,v#v-w215_MPf6_MP,cupio-03/cupio-05,v#01825237/v#01828405,97287,"ACT, PAT","rapere omnes, trahere, domum alius agros cupere",,merge,,,
