id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),
Par. 1,,,,,,,,,,,,
SlaT-2773-n2,nitor,v#v-w332_MPf14_MP,nitor-06,v#02531199,113708,"ACT, PAT","omnis homines [...] summa ope niti decet, ne vitam silentio transeant veluti pecora",,,,DECET missing but needed in UMR. decet-02.,
SlaT-2773-n5,studeo,v#v-w1034_MPf3_MP,studeo-NEW-07,v#01828405,125886,"ACT, PAT","homines, qui sese student praestare ceteris animalibus",desire strongly or persistently,,,,
SlaT-2773-n7,praesto,v#v-w581_MPf5_MP,praesto2-06,v#02673965,119246,"ACT, DIFF, PAT",[...] sese student praestare ceteris animalibus [...],,,PAT in dative,EFF in V2 is wrong (Eleonora said) - corrected into DIFF,
SlaT-2773-n13,transeo,v#v-w579_MPf5_MP,transeo-15,v#02708420,128591,"ACT, PAT, MANN",ne vitam silentio transeant,,,,"1. disagree with DIR1, DIR3 in V2 (absent in V1);",
SlaT-2773-n17,fingo,v#v-w240_MPf4_MP,fingo-02,v#00142191,103319,"ACT, PAT",(pecora) quae natura prona atque ventri oboedientia finxit,,,,EFF optional,
SlaT-2773-n22,oboedio,v#v-w1106_MPf2_MP,oboedio-NEW-01,v#02542795,114335,"ACT, PAT",natura prona atque ventri oboedientia finxit,be obedient to,,,,
SlaT-2774-n2,sino,v#v-w719_MPf4_MP,,,,,,,,,sino,
SlaT-2775-n1,utor,v#v-w28_MPf8_MP,utor-03,v#01158872,130923,"ACT, PAT",,,,PAT in ablative,,
2776a1,sum,v#v-w2_MPf99_MP,have-mod-91,,,,,,,,,
2776a2,communis,v#v-w937_MPf4_MP,communis-13,a#02152216,97171,ACMP,,,NON-EVENT,,,
SlaT-2776-n5,sum,v#v-w2_MPf99_MP,have-mod-91,,,,,,,,,
SlaT-2776-n7,communis,v#v-w937_MPf4_MP,,,,,,,NON-EVENT,,,
