id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),,
Par. 52,,,,,,,,,,,,,
SlaT-3300-n1,assentior,v#v-w1375_MPf1_MP,assentior-02,v#00804139,90311,"ACT, ADDR, PAT",ceteri verbo alius alii varie adsentiebantur,,,,,,
SlaT-3300-n2,facio,v#v-w76_MPf21_MP,facio-25,v#01752884,102758,"ACT, PAT",prius [...] quam initium narrandi faciam,,,,,,
SlaT-3300-n5,dico,v#v-w9_MPf84_MP,dico2-08/dico2-18,v#00941990/v#01009240,99302,"ACT, PAT",ut supra diximus,,merge,,,,
SlaT-3301-n2,habeo,v#v-w73_MPf16_MP,habeo-NEW-24,v#00989602,105044,"ACT, PAT",orationem huiusce modi habuit,"deliver (a speech, oration, or idea)",,,,,
SlaT-3301-n7,rogo,v#v-w625_MPf3_MP,rogo-05,v#00785008,122853,"ACT, ADDR, PAT",rogatus sententiam,,,,,,
SlaT-3302-n1,sum,v#v-w2_MPf96_MP,have-mod-91,,,,,,,,,,
SlaT-3302-n2,longus,v#v-w1402_MPf3_MP,,,,,,,NON-EVENT,,,,
SlaT-3302-n7,conscribo,v#v-w859_MPf5_MP,conscribo-07,v#02471327,95999,"ACT, PAT",patres conscripti,,,,,,
SlaT-3302-n9,considero,v#v-w27_MPf4_MP,considero-01,v#00630380,96054,"ACT, PAT",res atque pericula nostra considero,,,,,,
SlaT-3302-n14,reputo,v#v-w167_MPf6_MP,reputo-01,v#00630380,122697,"ACT, PAT",sententias nonnullorum ipse mecum reputo,,,,,,
SlaT-3303-n1,video,v#v-w16_MPf41_MP,uideo-10,v#02133435,130163,"ACT, EFF, PAT",illi mihi disseruisse videntur de poena eorum,,,passive,,,
SlaT-3303-n4,dissero,v#v-w42_MPf8_MP,dissero2-01,v#00813978,99785,ACT,de poena disserunt,,,,,,
SlaT-3303-n7,paro,v#v-w572_MPf12_MP,paro-07,v#01638368,116061,"ACT, PAT",parare incendia,,,,,,
SlaT-3304-n2,moneo,v#v-w661_MPf3_MP,moneo-06,v#00871195,112665,"ACT, ADDR, PAT",res autem monet cavere ab illis,,,,,,
SlaT-3304-n4,caveo,v#v-w843_MPf3_MP,caueo-14,v#02599878,93200,"ACT, REG",res autem monet cavere ab illis,,,,,,
3304a2,moneo,v#v-w661_MPf3_MP,moneo-06,v#00871195,112665,"ACT, ADDR, PAT",res autem monet cavere ab illis,,,,,,
SlaT-3304-n7,consulto,v#v-w1154_MPf4_MP,consulto-04,v#00813978,96192,"ACT, PAT, REG",quid in illos statuamus consultare,,,,,,
SlaT-3304-n8,statuo,v#v-w624_MPf5_MP,statuo-06,v#00699815,125614,"ACT, PAT",quid in illos statuamus consultare,,,,,,
SlaT-3305-n1,persequor,v#v-w825_MPf3_MP,persequor-NEW-10,,117303,"ACT, PAT",accepta iniuria ignoscere quam persequi malebant,prosecute,,,,,
SlaT-3305-n6,facio,v#v-w76_MPf17_MP,facio-23,v#01712704,102758,"ACT, PAT",qui facta aliorum scripsere,,,,different frame than other facio-23,"(else, perpetrate)",
SlaT-3306-n1,imploro,v#v-w1376_MPf1_MP,imploro-01,v#00759269,106619,"ACT, ADDR, PAT",frustra iudicia inplores,,,,,,
SlaT-3306-n2,provideo,v#v-w170_MPf9_MP,prouideo-01,v#00406963,120187,"ACT, PAT",hoc nisi provideris ne accidat,,,,,,
SlaT-3306-n3,accido^cado,v#v-w120_MPf9_MP,accido-01,v#00339934,87112,"ACT, ADDR",hoc nisi provideris ne accidat,,,,,,
SlaT-3306-n5,evenio,v#v-w724_MPf5_MP,euenio-01,v#00339934,101603,ACT,ubi evenit,,,,,,
SlaT-3307-n1,fio,v#v-w565_MPf7_MP,relinquo-05,v#01842367,122569,"ACT, PAT",capta urbe nihil fit reliqui victis,,,,single predicate for fit relinqui,,
SlaT-3307-n2,capio,v#v-w106_MPf8_MP,capio-37,v#02272549,92686,"ACT, ORIG, PAT",capta urbe nihil fit reliqui victis,,,,,,
SlaT-3307-n6,vinco,v#v-w143_MPf3_MP,uinco-05,v#01108148,130232,"ACT, PAT","ii milites, postquam victoriam adepti sunt, nihil reliqui victis fecere",,,,,,
SlaT-3308-n2,appello,v#v-w607_MPf5_MP,appello-09,v#00989201,89580,"ACT, PAT",vos ego appello,,,,,,
SlaT-3308-n6,facio,v#v-w76_MPf16_MP,facio-NEW-44,,102758,"ACT, EFF, PAT",signa tabulas vostras pluris quam rem publicam fecistis,"value, esteem, regard",,,,,
3308a1,facio,v#v-w76_MPf16_MP,facio-NEW-44,,102758,"ACT, EFF, PAT",signa tabulas vostras pluris quam rem publicam fecistis,"value, esteem, regard",,,,,
SlaT-3309-n3,retineo,v#v-w248_MPf4_MP,retineo-05,v#02679899,122776,"ACT, PAT","imperium facile iis artibus retinetur, quibus initio partum est",,,,different frame than other retineo-05,,
SlaT-3309-n5,sum,v#v-w2_MPf127_MP,have-mod-91,,,,,,,,,,
SlaT-3309-n9,amplexor,v#v-w1377_MPf1_MP,amplexor-10,v#01776214,88772,"ACT, PAT",cuiuscumque modi sunt quae amplexamini,,,,,,
SlaT-3309-n11,praebeo,v#v-w203_MPf4_MP,praebeo-09,v#02255462,118687,"ACT, ADDR, PAT",si voluptatibus vostris otium praebere voltis,,"let alone that frames do not seem ideal, issue of similar definitions",,,,
